policy_id,subscription_length,vehicle_age,customer_age,region_code,region_density,segment,model,fuel_type,max_torque,max_power,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,steering_type,turning_radius,length,width,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,claim_status,customer_id
POL050280,10.2,1.6,41.0,C2,27003.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,1,5312
POL002844,1.4,0.0,44.0,C2,27003.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,37820
POL016746,5.6,0.2,36.0,C3,4076.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,17569
POL032069,10.3,3.8,40.0,C8,8794.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,19770
POL058212,8.8,0.4,40.0,C9,17804.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,28694
POL031558,0.7,0.6,62.0,C10,18826.858666712174,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2.0,No,Yes,No,Yes,Yes,Drum,1498.0,4.0,Manual,Electric,4.9,3995.0,1695.0,1051.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0,6397
POL025424,2.4,2.8,42.0,C2,27003.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,27481
POL002953,9.7,1.0,43.0,C15,290.0,A,M3,Petrol,91Nm@4250rpm,67.06bhp@5500rpm,1.0 SCe,2.0,No,No,No,No,Yes,Drum,999.0,3.0,Automatic,Electric,5.0,3731.0,1579.0,1155.0,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2.0,0,25659
POL037269,11.6,0.4,48.0,C13,5410.0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.85,3990.0,1745.0,1410.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,0,18943
POL023833,5.3,0.8,45.0,C5,34738.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,18432
POL025238,10.2,1.0,41.0,C2,27003.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,2748
POL051424,0.9,1.4,36.0,C2,27003.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,190
POL038857,1.2,0.2,53.0,C6,13051.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,19119
POL050788,1.3,0.0,46.0,C3,4076.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,35774
POL005658,12.4,2.0,44.0,C3,4076.0,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2.0,No,Yes,No,Yes,Yes,Drum,1498.0,4.0,Manual,Electric,4.9,3995.0,1695.0,1051.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0,1900
POL042408,6.8,1.4,51.0,C2,27003.0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2.0,No,No,No,Yes,No,Drum,998.0,3.0,Manual,Power,4.7,3655.0,1620.0,1340.0,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2.0,0,1268
POL028528,0.7,0.0,37.0,C3,4076.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,31552
POL021346,10.9,2.0,41.0,C10,18826.858666712174,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,1,11395
POL058206,12.4,0.6,44.0,C8,8794.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,3557
POL039202,7.7,0.0,45.0,C3,4076.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,3891
POL013172,8.3,1.2,43.0,C2,27003.0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.85,3990.0,1745.0,1410.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,0,30741
POL017306,0.8,0.6,41.0,C3,4076.0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2.0,No,No,No,Yes,No,Drum,998.0,3.0,Manual,Power,4.7,3655.0,1620.0,1340.0,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2.0,0,14503
POL048268,10.6,0.8,38.0,C2,27003.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,21778
POL050891,2.8,1.2,36.0,C8,8794.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,10628
POL025294,0.2,1.4,40.0,C13,5410.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,8793
POL048265,11.8,2.0,37.0,C8,8794.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,8434
POL051837,6.4,2.2,44.0,C2,27003.0,A,M3,Petrol,91Nm@4250rpm,67.06bhp@5500rpm,1.0 SCe,2.0,No,No,No,No,Yes,Drum,999.0,3.0,Automatic,Electric,5.0,3731.0,1579.0,1155.0,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2.0,0,11017
POL051314,4.3,2.0,35.0,C13,5410.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,23898
POL051999,12.1,3.8,38.0,C13,5410.0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.85,3990.0,1745.0,1410.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,0,2613
POL036646,5.5,0.6,61.0,C3,4076.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,23484
POL019345,2.6,0.4,39.0,C5,34738.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,17160
POL046629,0.9,2.2,44.0,C9,17804.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,14542
POL028098,10.1,2.8,50.0,C2,27003.0,C1,M2,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K12N Dualjet,2.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.8,3995.0,1735.0,1335.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,35921
POL048488,1.8,1.0,35.0,C8,8794.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,26532
POL042405,4.6,1.2,35.0,C19,27742.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,1586
POL025380,2.7,0.0,49.0,C3,4076.0,Utility,M10,CNG,85Nm@3000rpm,61.68bhp@6000rpm,G12B,1.0,No,No,No,Yes,No,Drum,1196.0,4.0,Manual,Manual,4.5,3675.0,1475.0,1510.0,No,No,No,No,No,No,No,No,No,No,No,Yes,0.0,0,3944
POL034272,10.9,2.0,35.0,C9,17804.0,A,M3,Petrol,91Nm@4250rpm,67.06bhp@5500rpm,1.0 SCe,2.0,No,No,No,No,Yes,Drum,999.0,3.0,Automatic,Electric,5.0,3731.0,1579.0,1155.0,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2.0,0,23940
POL016022,0.9,0.4,36.0,C2,27003.0,C1,M2,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K12N Dualjet,2.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.8,3995.0,1735.0,1335.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,19458
POL049690,2.2,3.2,47.0,C8,8794.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,1022
POL018564,0.4,0.4,53.0,C5,34738.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,11654
POL028214,11.7,1.2,39.0,C15,290.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,13418
POL017795,10.6,3.6,47.0,C3,4076.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,9693
POL037445,12.2,3.2,52.0,C13,5410.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,6874
POL030791,0.8,1.4,52.0,C8,8794.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,5676
POL031652,3.8,2.0,42.0,C11,6108.0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.85,3990.0,1745.0,1410.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,0,162
POL048564,0.5,2.0,48.0,C8,8794.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,37066
POL036744,5.0,1.4,44.0,C6,13051.0,C1,M2,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K12N Dualjet,2.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.8,3995.0,1735.0,1335.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,26558
POL051852,1.3,3.2,47.0,C19,27742.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,33764
POL034655,2.0,2.6,41.0,C10,18826.858666712174,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2.0,No,No,No,Yes,No,Drum,998.0,3.0,Manual,Power,4.7,3655.0,1620.0,1340.0,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2.0,0,32607
POL013657,0.6,0.0,49.0,C13,5410.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,11535
POL036292,1.0,0.4,43.0,C13,5410.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,29128
POL046230,0.2,0.2,46.0,C1,4990.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,25852
POL030074,1.1,0.4,40.0,C5,34738.0,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2.0,No,Yes,No,Yes,Yes,Drum,1498.0,4.0,Manual,Electric,4.9,3995.0,1695.0,1051.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0,1017
POL029053,4.9,1.4,52.0,C5,34738.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,24254
POL025853,1.5,1.0,44.0,C2,27003.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,24277
POL011617,2.8,0.2,37.0,C7,6112.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,23248
POL000310,11.2,0.4,57.0,C9,17804.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,24301
POL000881,12.4,2.0,36.0,C14,7788.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,8530
POL050628,1.0,1.2,37.0,C11,6108.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,17263
POL041571,8.2,0.2,45.0,C2,27003.0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2.0,No,Yes,No,Yes,No,Drum,1197.0,4.0,Manual,Electric,4.8,3845.0,1735.0,1335.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0,9269
POL014139,4.3,2.0,36.0,C15,290.0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2.0,No,No,No,Yes,No,Drum,796.0,3.0,Manual,Power,4.6,3445.0,1515.0,1185.0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0.0,0,21272
POL015985,1.8,1.6,52.0,C2,27003.0,Utility,M10,CNG,85Nm@3000rpm,61.68bhp@6000rpm,G12B,1.0,No,No,No,Yes,No,Drum,1196.0,4.0,Manual,Manual,4.5,3675.0,1475.0,1510.0,No,No,No,No,No,No,No,No,No,No,No,Yes,0.0,0,12186
POL036953,11.1,1.4,37.0,C3,4076.0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6.0,Yes,Yes,Yes,Yes,Yes,Disc,1493.0,4.0,Automatic,Power,5.2,4300.0,1790.0,1720.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3.0,0,21244
POL031268,5.0,1.4,52.0,C8,8794.0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6.0,Yes,Yes,No,Yes,Yes,Drum,1197.0,4.0,Automatic,Electric,4.85,3990.0,1745.0,1410.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,0,8572
