pitch_name,stand,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,outs_when_up,sz_top,sz_bot,swing
Changeup,R,6.19,-2.81,49.21,6.044,84.46,2231.0,151.8,-1.329,3.397,0.141,1.07,1,2,2,3.68,1.26,0
Cutter,L,6.31,-2.709,48.87,5.899,92.49,2489.0,40.4,-0.034,3.77,1.773,-0.702,0,0,1,3.6,1.37,0
4-Seam Fastball,R,6.37,-2.951,49.81,5.829,93.79,2341.0,16.9,0.097,2.947,-1.847,1.414,2,2,1,3.42,1.61,1
Slider,L,5.87,-2.75,49.54,5.877,87.56,1745.0,230.4,0.946,4.122,-0.603,-1.901,3,0,0,3.79,1.37,0
Cutter,R,5.93,-2.825,50.14,5.748,92.0,1485.0,36.8,1.524,3.877,-0.569,0.761,1,2,0,3.58,1.33,0
4-Seam Fastball,R,6.1,-2.836,48.62,5.945,93.35,2372.0,138.2,-1.418,3.885,1.427,1.756,3,0,0,3.44,1.5,0
4-Seam Fastball,R,5.91,-2.816,49.83,5.874,90.66,1968.0,351.6,0.082,3.198,-1.578,-1.044,2,0,1,3.38,1.27,1
4-Seam Fastball,R,6.24,-2.671,49.31,6.081,92.76,2503.0,267.8,-0.797,0.957,0.149,1.317,2,2,0,3.76,1.46,0
Knuckle Curve,L,5.91,-2.793,50.15,6.057,83.23,1438.0,171.4,-0.779,3.319,-1.12,0.472,0,1,1,3.18,1.56,1
Changeup,R,5.58,-2.841,47.31,5.793,82.6,2494.0,30.8,-0.78,1.555,-0.495,-0.482,3,1,1,3.53,1.26,1
Knuckle Curve,L,6.09,-2.744,50.81,6.062,81.93,2294.0,329.8,1.387,4.114,-1.33,-0.247,1,1,2,3.81,1.56,0
4-Seam Fastball,R,6.2,-2.648,49.83,6.028,94.31,2259.0,234.3,-0.191,4.034,-1.189,-1.148,0,0,0,3.5,1.25,1
Slider,R,6.01,-2.767,48.89,5.833,84.91,2350.0,91.7,-0.526,3.746,0.266,0.014,1,0,2,3.82,1.68,0
Slider,R,5.8,-2.84,51.85,5.993,88.03,2740.0,167.4,0.071,3.104,1.378,0.379,0,1,0,3.39,1.34,1
4-Seam Fastball,L,5.7,-2.743,50.47,6.076,96.41,2085.0,175.4,-0.121,2.525,-0.761,-0.02,0,0,2,3.11,1.17,1
Slider,L,6.35,-2.943,48.06,5.738,85.38,2371.0,317.2,0.891,3.663,1.018,0.116,3,2,2,3.28,1.19,1
Slider,R,5.78,-2.924,49.65,5.782,88.25,2401.0,219.9,-0.34,2.674,-1.964,0.318,2,2,1,3.69,1.42,1
4-Seam Fastball,R,6.12,-2.727,51.14,6.247,93.62,1881.0,57.6,1.2,1.68,-1.637,-1.632,3,2,1,3.47,1.89,0
4-Seam Fastball,R,6.02,-2.854,50.09,5.858,93.6,2483.0,210.0,1.369,3.075,-1.228,-0.435,1,2,1,3.23,1.75,0
4-Seam Fastball,R,6.19,-2.885,52.38,5.943,93.17,2028.0,227.3,-1.029,2.315,1.485,1.819,0,1,1,3.43,1.25,1
4-Seam Fastball,R,6.23,-2.855,50.66,5.907,93.54,2126.0,334.3,-0.144,1.453,-0.033,0.592,2,2,0,3.56,1.25,0
4-Seam Fastball,R,6.14,-2.75,49.45,6.032,95.11,1732.0,269.5,1.416,3.983,-1.919,-0.594,3,1,2,3.26,1.88,0
4-Seam Fastball,R,6.02,-2.94,50.61,5.823,91.75,1979.0,245.6,1.465,2.151,1.504,-0.595,1,0,1,3.6,1.38,0
4-Seam Fastball,R,5.99,-2.728,50.43,6.118,92.52,2299.0,196.0,0.363,0.901,0.034,1.677,1,2,0,3.14,1.18,0
Slider,R,6.26,-2.748,49.18,5.937,88.65,1615.0,297.4,-0.614,3.597,-1.964,-1.507,0,0,1,3.66,1.22,1
Changeup,R,6.36,-2.712,50.38,5.941,83.04,2740.0,38.4,-0.984,3.633,0.339,1.851,1,0,2,3.26,1.88,0
4-Seam Fastball,L,6.27,-2.913,50.76,5.807,94.84,1700.0,38.1,0.991,1.583,1.379,1.326,2,1,2,3.65,1.47,0
Slider,R,6.16,-2.823,48.72,6.073,89.73,1916.0,261.7,1.423,3.112,-1.816,-1.787,0,0,2,3.69,1.75,0
Cutter,R,5.63,-2.812,48.47,6.179,91.21,1581.0,132.8,-1.008,1.371,1.838,1.635,3,0,0,3.14,1.19,0
Cutter,R,5.83,-2.77,49.83,6.07,91.55,2238.0,205.0,-0.403,1.033,0.925,1.543,2,0,0,3.85,1.39,0
Slider,R,5.8,-2.997,50.64,5.709,88.34,2986.0,165.6,0.242,1.783,-0.336,1.637,0,2,1,3.57,1.88,1
Slider,L,6.25,-2.826,50.38,5.896,87.25,2308.0,23.9,1.22,2.61,-1.776,0.95,1,1,1,3.53,1.86,0
Cutter,R,6.23,-2.736,50.95,6.162,91.31,2364.0,96.4,-0.033,1.927,0.607,-1.534,0,1,0,3.11,1.64,1
Knuckle Curve,R,5.92,-2.855,51.51,6.017,81.06,1755.0,324.2,-0.402,1.177,-1.1,0.11,3,2,2,3.69,1.36,1
4-Seam Fastball,R,5.51,-2.761,50.31,5.951,91.96,1665.0,208.5,1.421,4.016,1.246,-1.063,3,1,2,3.26,1.65,1
4-Seam Fastball,R,5.92,-2.732,52.13,6.19,94.68,2145.0,5.5,0.751,2.702,-0.497,-0.515,2,2,0,3.75,1.72,1
Changeup,R,6.04,-2.728,47.49,6.029,83.75,2321.0,291.8,0.622,2.665,-1.574,0.643,3,1,0,3.27,1.6,1
4-Seam Fastball,L,5.95,-2.867,52.49,5.9,90.75,2435.0,197.6,-0.648,3.153,-1.651,-1.398,0,2,1,3.71,1.28,1
Knuckle Curve,L,5.95,-2.891,50.53,5.879,84.42,2164.0,301.0,-0.176,3.058,1.056,-0.705,3,1,0,3.73,1.68,1
Cutter,R,6.08,-2.833,50.52,6.057,92.77,2525.0,262.6,-0.546,3.808,0.238,0.854,0,2,0,3.23,1.24,1
Slider,L,5.86,-2.747,50.67,6.044,88.15,2486.0,200.0,0.302,3.756,-1.355,0.855,0,2,2,3.42,1.64,1
Knuckle Curve,R,5.8,-2.881,49.47,5.995,81.22,2360.0,229.5,-0.616,2.671,0.658,1.099,3,2,1,3.2,1.81,1
Cutter,L,6.13,-2.84,48.74,6.141,90.65,3022.0,167.5,1.373,3.023,-1.339,-1.62,1,2,1,3.65,1.32,1
Cutter,R,5.97,-2.887,51.59,5.666,92.26,2233.0,255.1,-1.437,2.36,-1.5,-0.065,0,1,1,3.33,1.7,0
4-Seam Fastball,R,5.88,-2.903,49.91,5.836,95.0,2729.0,291.8,1.118,2.87,0.082,0.555,0,2,2,3.23,1.15,1
Changeup,L,6.26,-2.865,50.24,5.92,82.93,1730.0,343.7,-1.115,3.187,0.484,0.679,0,2,2,3.26,1.89,1
Changeup,L,5.99,-2.85,52.55,5.663,84.3,1763.0,316.8,-0.431,1.309,-1.771,-1.92,2,2,2,3.4,1.71,1
Changeup,R,5.46,-2.682,48.8,5.999,82.94,2092.0,176.0,-0.493,1.523,-1.752,0.748,0,0,0,3.12,1.32,1
4-Seam Fastball,R,6.27,-2.794,48.72,5.887,92.96,2327.0,54.1,0.232,4.058,-1.083,1.714,0,1,2,3.25,1.57,1
Changeup,L,6.09,-2.784,48.52,5.946,84.32,1572.0,277.2,0.446,1.296,0.874,0.84,3,2,1,3.51,1.61,1
4-Seam Fastball,R,5.81,-2.778,49.72,5.963,94.8,2085.0,106.9,-1.558,1.927,-0.871,1.196,2,1,2,3.52,1.82,0
Slider,L,6.3,-2.836,50.05,5.863,85.23,2503.0,80.8,-0.204,1.064,0.291,0.336,1,1,0,3.73,1.41,1
Knuckle Curve,L,6.17,-2.888,50.57,5.831,83.81,2320.0,119.7,0.045,1.52,1.877,1.158,0,0,1,3.79,1.22,0
4-Seam Fastball,L,5.79,-2.671,49.86,6.151,93.47,1823.0,128.2,-0.472,2.943,0.074,0.412,3,0,0,3.52,1.69,1
Slider,R,5.46,-2.793,49.32,6.178,88.09,2259.0,166.9,0.7,1.063,-1.455,-0.021,3,1,2,3.53,1.82,0
4-Seam Fastball,L,5.74,-2.89,50.81,5.65,94.34,2357.0,317.6,-0.974,0.986,0.175,0.595,3,1,2,3.36,1.77,0
Knuckle Curve,R,6.12,-2.714,50.57,5.967,82.74,2020.0,77.2,0.256,0.861,-0.785,-0.131,2,2,0,3.19,1.48,0
Knuckle Curve,L,5.84,-2.826,51.88,6.12,82.7,2205.0,160.5,-1.16,1.297,-0.608,-0.314,1,1,2,3.22,1.45,0
Slider,R,5.82,-2.772,49.7,6.253,86.49,2317.0,165.6,0.433,1.976,-1.594,1.318,2,0,2,3.21,1.68,1
4-Seam Fastball,R,6.01,-2.776,49.97,5.978,94.34,2800.0,258.4,0.009,1.0,-0.759,1.203,0,0,1,3.56,1.56,0
4-Seam Fastball,R,5.78,-2.609,52.0,6.109,93.68,3111.0,2.2,1.269,1.37,-1.6,-0.88,1,1,0,3.44,1.59,0
Slider,L,5.7,-2.822,49.46,5.953,88.4,1975.0,213.2,0.118,1.638,1.738,1.309,0,1,0,3.32,1.22,1
4-Seam Fastball,R,5.99,-2.874,48.7,5.908,92.64,2916.0,216.2,0.921,1.439,-0.394,-0.406,1,2,1,3.78,1.1,0
4-Seam Fastball,L,5.9,-2.84,51.46,5.832,95.43,1994.0,137.5,-0.089,1.036,1.999,0.739,1,0,1,3.33,1.59,0
Changeup,R,6.05,-2.779,49.57,5.904,84.67,2211.0,190.0,-0.588,4.125,-0.833,-1.187,3,1,0,3.54,1.11,1
4-Seam Fastball,L,6.5,-2.787,49.68,6.159,93.22,1575.0,18.5,-0.403,2.558,-0.547,1.135,2,0,0,3.3,1.29,1
Cutter,R,5.8,-2.815,51.42,6.024,90.99,2283.0,165.4,-1.52,3.864,-1.148,1.743,1,0,2,3.79,1.52,0
Knuckle Curve,R,5.97,-2.741,48.13,6.247,84.54,1886.0,198.0,0.557,3.88,-1.042,-0.193,0,1,1,3.89,1.11,0
Knuckle Curve,L,5.69,-2.758,52.59,6.155,82.77,1405.0,199.8,0.264,3.604,-0.082,1.711,1,1,1,3.35,1.82,0
Changeup,R,5.85,-2.742,49.97,6.046,83.48,1934.0,213.8,0.202,1.941,-0.772,1.101,0,1,1,3.19,1.17,1
Cutter,R,5.86,-2.78,50.08,6.047,91.76,1651.0,246.4,0.859,2.148,1.114,1.162,2,0,0,3.26,1.83,0
Slider,R,6.04,-2.853,49.79,5.878,88.37,2352.0,148.0,-1.021,0.834,1.465,-1.278,2,0,1,3.4,1.74,0
Cutter,R,6.04,-2.758,48.92,6.088,90.86,2278.0,61.7,0.544,3.376,-1.375,1.325,3,0,1,3.83,1.86,0
Slider,R,5.94,-2.775,50.17,6.002,87.28,2211.0,322.4,-0.641,3.755,1.025,-0.692,2,0,0,3.66,1.83,1
4-Seam Fastball,R,5.99,-2.858,49.39,5.728,93.52,2397.0,70.1,0.402,1.857,0.024,-1.84,3,2,0,3.54,1.73,1
Slider,R,6.01,-2.856,49.66,6.117,87.6,2146.0,87.6,-1.342,3.102,1.485,1.224,1,2,1,3.41,1.58,0
4-Seam Fastball,R,6.1,-2.74,51.46,5.924,93.55,2589.0,158.5,1.243,2.672,1.237,-0.593,2,0,1,3.25,1.27,1
Slider,R,5.78,-2.776,48.72,5.945,88.06,2601.0,107.7,0.395,1.869,-0.885,1.182,1,2,2,3.36,1.64,1
4-Seam Fastball,L,6.23,-2.784,48.82,6.291,93.07,1660.0,339.5,1.188,1.701,-0.136,-0.934,1,0,2,3.11,1.29,0
Knuckle Curve,L,5.92,-2.722,48.3,6.23,83.23,2498.0,205.8,1.306,4.035,-1.923,0.547,3,0,0,3.36,1.54,0
4-Seam Fastball,R,5.88,-2.59,48.63,6.114,92.04,2145.0,141.9,-0.456,2.864,0.437,0.728,1,2,1,3.63,1.14,1
4-Seam Fastball,L,5.82,-2.847,49.55,5.95,94.3,2582.0,302.5,0.915,3.761,1.375,-1.048,0,2,1,3.85,1.37,0
Slider,L,6.03,-2.93,51.97,5.952,88.95,2643.0,221.8,-0.725,3.45,-1.998,0.677,1,0,2,3.89,1.68,0
4-Seam Fastball,R,6.24,-2.7,49.35,6.176,93.21,2350.0,234.1,-1.525,2.685,-1.405,-1.512,0,2,2,3.86,1.23,0
4-Seam Fastball,R,5.78,-2.763,51.71,5.997,93.71,1919.0,176.1,-0.407,0.902,1.06,-0.283,2,2,0,3.41,1.82,0
Changeup,R,6.0,-2.795,48.49,5.896,82.87,2416.0,236.3,-0.987,3.134,-0.042,-0.651,2,1,1,3.46,1.47,1
4-Seam Fastball,R,5.91,-2.769,51.36,6.267,93.85,2496.0,257.1,-0.958,3.891,1.393,0.498,1,1,1,3.84,1.16,0
4-Seam Fastball,L,6.21,-2.722,48.74,6.053,93.66,2805.0,310.9,-1.52,1.547,-0.118,0.45,3,2,2,3.84,1.54,0
Cutter,L,5.46,-2.759,49.68,6.077,90.03,2442.0,71.0,0.07,2.269,-0.397,-0.361,0,2,0,3.82,1.61,1
Cutter,R,6.46,-2.855,49.73,5.915,88.47,2056.0,173.3,-0.516,2.86,-0.514,-0.638,0,1,2,3.12,1.42,1
Changeup,R,5.5,-2.957,50.75,5.664,82.5,2165.0,249.7,-1.065,3.538,1.685,0.459,2,2,1,3.5,1.65,1
Slider,R,6.0,-2.706,51.25,6.134,86.17,2032.0,169.6,0.557,3.379,0.149,1.841,1,2,2,3.33,1.71,1
Changeup,R,5.38,-2.81,48.73,6.017,81.56,1638.0,242.7,0.907,4.024,0.012,0.606,0,0,1,3.67,1.47,0
Knuckle Curve,R,6.02,-2.8,52.3,5.996,82.93,2184.0,83.6,1.196,1.673,1.276,-1.979,1,1,1,3.79,1.77,0
4-Seam Fastball,L,6.22,-2.89,50.31,5.697,96.57,1855.0,152.8,-1.177,3.534,0.033,0.264,1,2,2,3.22,1.14,0
Slider,R,6.23,-2.737,51.1,6.196,87.63,2294.0,6.5,-0.111,3.478,1.397,0.6,0,2,1,3.39,1.54,1
4-Seam Fastball,R,5.91,-2.908,47.35,6.105,94.07,1614.0,279.0,-0.794,2.331,1.561,-1.232,3,1,1,3.38,1.4,1
4-Seam Fastball,L,6.07,-2.723,49.89,6.014,93.64,2157.0,177.5,-1.182,0.928,1.504,-1.956,2,0,0,3.43,1.34,0
Knuckle Curve,R,6.14,-2.695,48.92,6.173,82.57,2040.0,321.0,-0.575,3.094,-1.922,0.073,1,1,0,3.24,1.34,1
4-Seam Fastball,R,5.44,-2.703,52.12,6.117,94.35,2471.0,237.7,-0.46,1.806,-1.676,-0.575,1,1,2,3.75,1.26,1
4-Seam Fastball,R,5.78,-2.794,50.18,5.975,93.28,3021.0,218.9,-0.394,3.558,1.993,-1.13,1,1,0,3.45,1.5,1
Changeup,R,6.59,-2.829,49.63,6.125,83.37,2068.0,299.8,-1.157,3.545,1.007,0.594,0,0,2,3.84,1.87,0
4-Seam Fastball,L,6.22,-2.773,48.07,5.947,92.3,1934.0,186.8,1.481,2.957,-1.597,-1.101,3,0,2,3.48,1.51,0
Slider,L,5.98,-2.719,50.63,6.256,88.89,1850.0,158.7,0.23,2.384,0.401,1.407,1,2,1,3.43,1.81,1
4-Seam Fastball,R,5.96,-2.887,50.06,5.596,93.81,3073.0,11.8,1.439,1.921,-1.892,-0.057,3,1,0,3.33,1.86,0
Changeup,L,6.48,-2.794,48.57,5.951,81.44,2010.0,310.9,-0.716,3.112,1.878,-0.825,2,0,1,3.53,1.61,1
Slider,R,6.0,-2.848,47.18,5.973,88.93,2395.0,23.6,-0.595,2.859,1.054,0.887,1,2,1,3.13,1.51,1
Slider,R,5.88,-2.874,49.61,5.983,86.84,1844.0,282.0,-0.368,2.538,0.359,0.911,0,0,2,3.33,1.5,1
Changeup,R,6.19,-2.628,50.03,6.3,82.52,2154.0,352.3,-1.432,2.522,-0.362,0.491,3,2,0,3.87,1.14,0
4-Seam Fastball,L,5.94,-2.793,50.77,6.043,94.27,1907.0,101.0,-0.281,4.097,-0.725,-0.456,0,0,2,3.48,1.4,1
4-Seam Fastball,R,5.92,-2.837,49.42,5.83,93.42,2174.0,275.7,1.053,1.8,-0.583,0.133,0,1,2,3.35,1.56,0
4-Seam Fastball,R,5.79,-2.878,49.81,6.291,93.3,2303.0,216.6,0.872,3.832,-0.547,-0.743,1,1,2,3.37,1.87,0
Changeup,R,6.1,-2.792,50.01,5.879,84.51,2226.0,208.0,-0.157,1.359,-0.17,1.964,2,2,1,3.46,1.49,1
4-Seam Fastball,R,6.12,-2.605,50.94,6.197,94.09,2891.0,178.6,-0.852,3.771,0.942,-1.314,1,0,0,3.9,1.24,0
Changeup,R,6.15,-2.712,50.62,6.3,82.68,1804.0,329.5,-0.919,1.883,0.152,1.744,1,2,2,3.33,1.82,0
4-Seam Fastball,L,5.8,-2.782,51.91,5.951,93.67,2107.0,6.1,-0.53,3.54,-1.413,0.064,2,2,2,3.64,1.8,1
4-Seam Fastball,R,5.85,-2.799,47.48,6.012,90.85,2064.0,135.7,-0.011,1.827,-0.647,-1.841,2,1,2,3.32,1.3,1
4-Seam Fastball,L,6.11,-2.801,48.19,6.062,93.25,1926.0,140.4,-0.648,2.322,0.562,-0.622,3,0,0,3.72,1.61,1
Cutter,R,5.61,-2.677,49.64,6.107,91.73,2106.0,340.3,0.845,1.98,0.954,-0.324,2,1,1,3.13,1.72,1
Slider,L,5.86,-2.881,50.45,5.956,85.73,2328.0,201.1,-0.014,1.509,-0.982,-1.063,1,0,2,3.61,1.77,1
Slider,R,6.04,-2.782,50.08,5.914,86.38,2293.0,215.7,1.525,1.975,-0.019,1.284,2,1,1,3.61,1.85,0
4-Seam Fastball,R,5.91,-2.829,48.85,6.07,93.3,2432.0,42.1,-1.296,3.554,-1.173,0.635,1,1,1,3.23,1.8,0
4-Seam Fastball,L,5.93,-2.866,51.68,5.982,92.66,2525.0,52.4,1.57,1.416,1.477,1.246,2,0,0,3.47,1.57,0
4-Seam Fastball,R,6.12,-2.898,51.08,5.76,93.25,2421.0,200.5,0.504,2.307,1.33,1.116,0,0,1,3.54,1.32,1
Cutter,L,5.86,-2.746,49.9,6.198,91.42,1734.0,265.3,0.887,4.005,-0.29,-1.213,2,1,0,3.37,1.71,0
4-Seam Fastball,R,6.12,-2.821,48.13,5.835,94.47,2047.0,217.0,1.442,3.723,1.859,-1.577,3,0,1,3.13,1.71,0
Knuckle Curve,R,6.61,-2.915,50.78,5.994,84.5,2571.0,243.0,0.346,3.128,0.736,-1.985,0,1,0,3.27,1.81,1
Changeup,R,6.23,-2.871,49.74,5.906,83.14,1380.0,170.0,0.915,1.428,-0.781,-0.823,2,0,0,3.53,1.31,0
Cutter,R,6.21,-2.805,50.66,6.084,92.96,2073.0,61.4,1.242,4.0,1.188,-0.714,3,1,0,3.15,1.14,1
Knuckle Curve,L,5.66,-2.652,50.33,6.3,81.47,2218.0,89.3,-0.242,3.927,-0.75,0.632,2,1,2,3.31,1.8,0
Slider,R,6.05,-2.941,49.96,5.736,86.69,2478.0,269.9,-0.626,0.896,-0.15,1.142,3,2,0,3.58,1.86,0
Knuckle Curve,R,6.53,-2.869,49.34,6.128,83.73,2179.0,196.5,-0.364,2.2,-1.42,1.944,1,2,0,3.47,1.68,1
4-Seam Fastball,R,6.13,-2.78,50.29,6.076,93.42,2245.0,246.7,-0.888,1.586,1.749,1.628,0,2,0,3.5,1.18,1
4-Seam Fastball,R,6.2,-2.662,50.99,6.3,93.58,2533.0,279.6,0.046,1.647,-0.244,0.539,1,0,1,3.39,1.53,1
4-Seam Fastball,L,5.72,-2.937,48.48,5.85,93.91,1200.0,308.1,1.353,3.356,0.718,-1.131,1,1,2,3.54,1.84,1
Knuckle Curve,L,5.91,-2.756,50.44,5.977,81.85,2210.0,95.1,-1.463,2.178,-1.015,1.926,3,2,2,3.29,1.18,0
4-Seam Fastball,R,5.78,-2.894,49.05,5.872,93.72,2508.0,205.8,-0.131,3.774,-1.448,-1.374,3,0,1,3.63,1.36,1
